"2742";"0001";"5E";"6";"Enables Shutter Tone "None" in Pictures Setup";"on";"off" 
"2742";"0001";"5F";"5";"Menu: Camera Setup > Counter";"on";"off"
"2742";"0001";"5F";"6";"Menu: Video Setup > Allow Alert";"on";"off"
"2742";"0001";"5F";"7";"Menu: Camera/Video Setup > Quality";"on";"off"
"2742";"0001";"60";"0";"3rd line text if active GPRS exists";"on";"off"
"2742";"0001";"60";"1";"Menu: Java DNS-IP - show";"on";"off"
"2742";"0001";"60";"2";"Menu: Camera/Video Setup > Mirror";"on";"off"
"2742";"0001";"60";"4";"Menu: Camera/Video Setup > Exposure";"on";"off"
"2742";"0001";"62";"2";"Menu: Delivery Notification Menu (MMS)";"on";"off" 
"2742";"0001";"62";"3";"Menu: Sync";"on";"off"
"2742";"0001";"62";"5";"Menu: MMS Message Setup > Server Info";"on";"off"
"2742";"0001";"63";"0";"Menu: Create Message > Letter (allows 3000 chars max)Part 1(Vivo)";"off;"on" 
"2742";"0001";"63";"1";"Menu: Create Message > Letter (allows 3000 chars max)Part 2";"on;"off" 
"2742";"0001";"63";"6";"Block phone numbers absent in phonebook";"on";"off"
"2742";"0001";"64";"1";"Enables Send To OnlineAlbum (PixPlace) in Pictures and Sounds Menus";"on";"off" 
"2742";"0001";"64";"5";"Remove RE: and FW: From Sent Messages Part 1 (unchecked=on)";"on";"off"
"2742";"0001";"64";"6";"Remove RE: and FW: From Sent Messages Part 2 (unchecked=on)";"on";"off"
"2742";"0001";"65";"0";"Menu: Even Lighting (Ring Styles)";"on";"off"
"2742";"0001";"65";"1";"Menu: IM";"on";"off"
"2742";"0001";"65";"2";"Menu: Initial Setup > Hyphenation";"on";"off"
"2742";"0001";"65";"4";"Menu: Connections > Sync";"on";"off"
"2742";"0001";"65";"5";"Enables Bluetooth Object Push Transfers to Phone or PDA";"on";"off" 
"2742";"0001";"66";"1";"Menu: Other Info > Network Selected";"on";"off"
"2742";"0001";"67";"2";"Menu: Camera Options > Flash On/Off";"on";"off" 
"2742";"0001";"67";"3";"Menu: Camera Options > Adjust Contrast";"on";"off" 
"2742";"0001";"68";"5";"Enables Brew Parameters in Hidden Menu";"on";"off" 
"2742";"0001";"68";"6";"Menu: New Letter";"on";"off"
"2742";"0001";"69";"3";"Menu: Initial Setup > Battery Save";"adv";"norm"
"2742";"0001";"6A";"0";"Allows Bluetooth or USB file transfer in MPT(Sometimes OBEX)";"on";"off" 
"2742";"0001";"6A";"2";"Disables adding contacts to Phonebook";"on";"off" 
"2742";"0001";"6A";"3";"Menu: Security > Data Connection > 1XRTT Settings";"on";"off" 
"2742";"0001";"6B";"4";"Cursor Position in Main Menu";"center";"top-left"
"2742";"0001";"6C";"0";"Ringtone: Ding";"on";"off"
"2742";"0001";"6C";"1";"URL line in browser";"on";"off"
"2742";"0001";"6C";"2";"Ringtone: Provincial";"on";"off"
